subscription_key,customer_key,partner_id,channel,term_type,opened_date,register_quantity,register_status,register_status_date,register_as_of_date
S00001,C00001,P1,partner,annual,2026-01-10,3,active,2026-01-10,2026-06-30
S00002,C00002,P1,partner,annual,2025-09-20,8,active,2025-09-20,2026-06-30
S00003,C00003,P1,partner,annual,2026-03-22,5,active,2026-03-22,2026-06-30
S00004,C00004,P2,partner,monthly,2026-04-24,10,active,2026-04-24,2026-06-30
S00005,C00005,P2,partner,annual,2026-04-23,12,active,2026-04-23,2026-06-30
S00006,C00006,P1,partner,annual,2025-03-12,3,active,2025-03-12,2026-06-30
S00007,C00007,P1,partner,annual,2026-02-13,15,active,2026-02-13,2026-06-30
S00008,C00008,P1,partner,annual,2025-10-28,10,active,2025-10-28,2026-06-30
S00009,C00009,P1,partner,annual,2026-06-18,25,active,2026-06-18,2026-06-30
S00010,C00010,DIRECT,direct,annual,2026-06-18,389,active,2026-06-18,2026-06-30
S00011,C00011,P1,partner,annual,2026-01-23,9,active,2026-01-23,2026-06-30
S00012,C00012,P2,partner,annual,2025-02-22,0,cancelled,2025-06-23,2026-06-30
S00013,C00013,P1,partner,annual,2025-05-30,3,active,2025-05-30,2026-06-30
S00014,C00014,P1,partner,annual,2024-07-05,0,cancelled,2026-05-23,2026-06-30
S00015,C00015,P1,partner,annual,2025-11-27,5,active,2025-11-27,2026-06-30
S00016,C00015,P1,partner,annual,2026-02-14,10,active,2026-02-14,2026-06-30
S00017,C00016,P1,partner,annual,2026-06-25,6,active,2026-06-25,2026-06-30
S00018,C00017,P3,partner,annual,2024-11-20,4,active,2024-11-20,2026-06-30
S00019,C00018,P1,partner,annual,2025-11-26,2,active,2025-11-26,2026-06-30
S00020,C00019,P2,partner,monthly,2025-07-18,9,active,2025-07-18,2026-06-30
S00021,C00020,P1,partner,annual,2025-11-11,3,active,2025-11-11,2026-06-30
S00022,C00021,P2,partner,monthly,2025-08-11,4,active,2025-08-11,2026-06-30
S00023,C00022,P1,partner,annual,2025-08-18,9,active,2025-08-18,2026-06-30
S00024,C00022,P1,partner,annual,2026-02-16,40,active,2026-02-16,2026-06-30
S00025,C00023,P1,partner,monthly,2024-09-13,6,active,2024-09-13,2026-06-30
S00026,C00024,P1,partner,annual,2025-11-24,6,active,2025-11-24,2026-06-30
S00027,C00025,P2,partner,annual,2025-04-26,0,cancelled,2025-11-26,2026-06-30
S00028,C00026,P3,partner,annual,2026-03-01,11,active,2026-03-01,2026-06-30
S00029,C00027,P1,partner,annual,2026-03-17,5,active,2026-03-17,2026-06-30
S00030,C00028,P2,partner,annual,2025-11-05,9,active,2025-11-05,2026-06-30
S00031,C00029,P2,partner,annual,2025-03-25,9,active,2025-03-25,2026-06-30
S00032,C00030,P1,partner,annual,2026-03-30,4,active,2026-03-30,2026-06-30
S00033,C00031,P3,partner,annual,2025-03-28,4,active,2025-03-28,2026-06-30
S00034,C00032,P2,partner,annual,2025-09-25,6,active,2025-09-25,2026-06-30
S00035,C00033,P2,partner,annual,2026-02-20,6,active,2026-02-20,2026-06-30
S00036,C00034,P1,partner,annual,2024-09-29,0,cancelled,2025-06-06,2026-06-30
S00037,C00035,P1,partner,monthly,2025-10-02,9,active,2025-10-02,2026-06-30
S00038,C00035,P1,partner,monthly,2026-02-28,4,active,2026-02-28,2026-06-30
S00039,C00036,P2,partner,annual,2026-04-19,15,active,2026-04-19,2026-06-30
S00040,C00037,P1,partner,annual,2024-08-25,0,cancelled,2024-08-27,2026-06-30
S00041,C00038,P3,partner,annual,2026-05-12,10,active,2026-05-12,2026-06-30
S00042,C00039,P2,partner,annual,2024-11-02,19,active,2024-11-02,2026-06-30
S00043,C00039,P2,partner,annual,2026-03-31,13,active,2026-03-31,2026-06-30
S00044,C00040,P2,partner,annual,2025-12-16,3,active,2025-12-16,2026-06-30
S00045,C00041,P3,partner,monthly,2025-04-30,3,active,2025-04-30,2026-06-30
S00046,C00042,P1,partner,annual,2025-03-02,22,active,2025-03-02,2026-06-30
S00047,C00043,P3,partner,monthly,2025-03-06,9,active,2025-03-06,2026-06-30
S00048,C00044,P2,partner,annual,2024-12-03,0,cancelled,2025-03-24,2026-06-30
S00049,C00044,P2,partner,annual,2026-04-26,3,active,2026-04-26,2026-06-30
S00050,C00045,P2,partner,monthly,2025-12-06,13,active,2025-12-06,2026-06-30
S00051,C00046,P1,partner,monthly,2024-08-07,0,cancelled,2025-10-28,2026-06-30
S00052,C00047,P2,partner,annual,2024-11-14,0,cancelled,2025-07-27,2026-06-30
S00053,C00048,P1,partner,monthly,2026-03-05,16,active,2026-03-05,2026-06-30
S00054,C00049,P3,partner,annual,2024-09-16,32,active,2024-09-16,2026-06-30
S00055,C00050,DIRECT,direct,annual,2024-07-01,207,active,2024-07-01,2026-06-30
