subscription_key,month_key,customer_key,partner_id,channel,term_type,days_in_month,effective_days,licence_days,licence_months,rate_cents,billable_amount_cents,register_quantity_at_month_end,effective_quantity_at_month_end,gap_quantity,gap_amount_cents,derived,straddles_boundary,is_partial_month
S00001,2026-01,C00001,P1,partner,annual,31,22,44,1.419355,1000,1419,2,2,0,0,false,false,true
S00001,2026-02,C00001,P1,partner,annual,28,28,56,2.000000,1000,2000,2,2,0,0,false,false,false
S00001,2026-03,C00001,P1,partner,annual,31,31,62,2.000000,1000,2000,2,2,0,0,false,false,false
S00001,2026-04,C00001,P1,partner,annual,30,30,60,2.000000,1000,2000,2,2,0,0,false,false,false
S00001,2026-05,C00001,P1,partner,annual,31,31,79,2.548387,1000,2548,3,3,0,0,false,false,true
S00001,2026-06,C00001,P1,partner,annual,30,30,90,3.000000,1000,3000,3,3,0,0,false,false,false
S00002,2025-09,C00002,P1,partner,annual,30,11,88,2.933333,1000,2933,8,8,0,0,false,false,true
S00002,2025-10,C00002,P1,partner,annual,31,31,248,8.000000,1000,8000,8,8,0,0,false,false,false
S00002,2025-11,C00002,P1,partner,annual,30,30,240,8.000000,1000,8000,8,8,0,0,false,false,false
S00002,2025-12,C00002,P1,partner,annual,31,31,248,8.000000,1000,8000,8,8,0,0,false,false,false
S00002,2026-01,C00002,P1,partner,annual,31,31,248,8.000000,1000,8000,8,8,0,0,false,false,false
S00002,2026-02,C00002,P1,partner,annual,28,28,224,8.000000,1000,8000,8,8,0,0,false,false,false
S00002,2026-03,C00002,P1,partner,annual,31,31,248,8.000000,1000,8000,8,8,0,0,false,false,false
S00002,2026-04,C00002,P1,partner,annual,30,30,240,8.000000,1000,8000,8,8,0,0,false,false,false
S00002,2026-05,C00002,P1,partner,annual,31,31,248,8.000000,1000,8000,8,8,0,0,false,false,false
S00002,2026-06,C00002,P1,partner,annual,30,30,240,8.000000,1000,8000,8,8,0,0,false,false,false
S00003,2026-03,C00003,P1,partner,annual,31,10,50,1.612903,1000,1613,5,5,0,0,false,false,true
S00003,2026-04,C00003,P1,partner,annual,30,30,150,5.000000,1000,5000,5,5,0,0,false,false,false
