transaction_id,subscription_key,term_type,transaction_type,received_date,term_seq,landing_date,days_pending,landed_by_as_of,took_effect_as_scheduled
6573,S00005,annual,REDUCE,2026-05-02,1,2027-04-23,356,false,false
2845,S00006,annual,REDUCE,2025-06-30,1,2026-03-12,255,true,true
6947,S00006,annual,REDUCE,2026-05-26,2,2027-03-12,290,false,false
2751,S00012,annual,CANCEL,2025-06-23,1,2026-02-22,244,true,true
3315,S00014,annual,REDUCE,2025-08-13,2,2026-07-05,326,false,false
6894,S00014,annual,CANCEL,2026-05-23,2,2026-07-05,43,false,false
2930,S00018,annual,REDUCE,2025-07-07,1,2025-11-20,136,true,true
1187,S00025,monthly,REDUCE,2024-12-27,4,2025-01-13,17,true,true
4485,S00027,annual,CANCEL,2025-11-26,1,2026-04-26,151,true,true
6093,S00029,annual,REDUCE,2026-03-28,1,2027-03-17,354,false,false
2587,S00036,annual,CANCEL,2025-06-06,1,2025-09-29,115,true,true
5835,S00037,monthly,REDUCE,2026-03-09,6,2026-04-02,24,true,true
306,S00040,annual,CANCEL,2024-08-27,1,2025-08-25,363,true,true
2811,S00042,annual,REDUCE,2025-06-27,1,2025-11-02,128,true,true
1872,S00048,annual,CANCEL,2025-03-24,1,2025-12-03,254,true,true
4138,S00051,monthly,CANCEL,2025-10-28,15,2025-11-07,10,true,true
3117,S00052,annual,CANCEL,2025-07-27,1,2025-11-14,110,true,true
6152,S00070,monthly,REDUCE,2026-04-01,11,2026-04-03,2,true,true
6795,S00071,monthly,CANCEL,2026-05-16,10,2026-05-28,12,true,true
7098,S00072,monthly,CANCEL,2026-06-05,11,2026-06-22,17,true,true
5048,S00073,monthly,REDUCE,2026-01-12,18,2026-02-04,23,true,true
5858,S00073,monthly,CANCEL,2026-03-11,20,2026-04-04,24,true,true
3513,S00090,annual,REDUCE,2025-08-31,1,2026-08-12,346,false,false
4818,S00102,annual,REDUCE,2025-12-24,1,2026-03-26,92,true,false
189,S00113,monthly,CANCEL,2024-08-05,1,2024-08-24,19,true,true
7339,S00115,annual,REDUCE,2026-06-21,1,2026-11-18,150,false,false
5200,S00116,annual,REDUCE,2026-01-24,2,2026-12-24,334,false,false
3691,S00120,annual,CANCEL,2025-09-17,1,2025-11-04,48,true,true
1051,S00121,monthly,CANCEL,2024-12-10,2,2024-12-23,13,true,true
4274,S00124,annual,CANCEL,2025-11-08,1,2026-04-29,172,true,true
7253,S00140,annual,CANCEL,2026-06-16,2,2027-04-12,300,false,false
1534,S00141,annual,REDUCE,2025-02-12,1,2025-12-04,295,true,true
1643,S00143,annual,REDUCE,2025-02-24,1,2026-02-19,360,true,true
3774,S00144,monthly,CANCEL,2025-09-24,4,2025-10-21,27,true,true
1220,S00150,annual,REDUCE,2025-01-01,1,2025-08-02,213,true,true
3439,S00150,annual,REDUCE,2025-08-25,2,2026-08-02,342,false,false
4437,S00150,annual,CANCEL,2025-11-22,2,2026-08-02,253,false,false
5812,S00151,monthly,CANCEL,2026-03-08,15,2026-03-13,5,true,true
7372,S00153,annual,REDUCE,2026-06-23,2,2027-05-03,314,false,false
3479,S00156,monthly,CANCEL,2025-08-28,7,2025-09-16,19,true,true
5894,S00162,annual,CANCEL,2026-03-14,2,2026-10-17,217,false,false
4337,S00163,monthly,CANCEL,2025-11-14,4,2025-11-20,6,true,true
5786,S00164,monthly,REDUCE,2026-03-06,1,2026-04-05,30,true,true
3602,S00176,monthly,REDUCE,2025-09-08,3,2025-10-02,24,true,true
3525,S00182,annual,REDUCE,2025-09-01,2,2026-07-21,323,false,false
6119,S00182,annual,ADD,2026-03-30,2,2026-07-21,113,false,false
4607,S00184,monthly,REDUCE,2025-12-07,13,2025-12-20,13,true,true
2415,S00187,monthly,REDUCE,2025-05-20,2,2025-06-09,20,true,true
1272,S00192,monthly,REDUCE,2025-01-07,6,2025-01-23,16,true,true
7099,S00192,monthly,REDUCE,2026-06-05,23,2026-06-23,18,true,true
6911,S00196,annual,REDUCE,2026-05-24,1,2026-08-10,78,false,false
3071,S00198,annual,CANCEL,2025-07-22,1,2025-10-04,74,true,true
5942,S00203,annual,REDUCE,2026-03-17,1,2027-02-01,321,false,false
7042,S00206,monthly,REDUCE,2026-06-01,15,2026-06-28,27,true,true
3526,S00208,monthly,REDUCE,2025-09-01,3,2025-09-07,6,true,true
578,S00209,monthly,REDUCE,2024-10-08,2,2024-10-27,19,true,true
2752,S00218,monthly,REDUCE,2025-06-23,1,2025-06-30,7,true,true
6323,S00219,monthly,REDUCE,2026-04-14,12,2026-04-26,12,true,true
5760,S00221,monthly,CANCEL,2026-03-04,11,2026-03-26,22,true,true
5508,S00223,monthly,REDUCE,2026-02-16,4,2026-03-02,14,true,true
6435,S00223,monthly,REDUCE,2026-04-21,6,2026-05-02,11,true,true
1495,S00225,annual,REDUCE,2025-02-06,1,2025-09-23,229,true,false
2462,S00225,annual,REDUCE,2025-05-24,1,2025-09-23,122,true,true
4975,S00225,annual,REDUCE,2026-01-07,2,2026-09-23,259,false,false
2794,S00227,annual,REDUCE,2025-06-26,1,2026-06-25,364,true,true
1085,S00244,monthly,REDUCE,2024-12-15,1,2025-01-12,28,true,true
4527,S00246,annual,CANCEL,2025-11-29,1,2026-08-11,255,false,false
4819,S00247,monthly,CANCEL,2025-12-24,1,2026-01-23,30,true,true
3732,S00250,annual,REDUCE,2025-09-21,1,2026-06-27,279,true,false
6759,S00250,annual,ADD,2026-05-13,1,2026-06-27,45,true,true
4929,S00253,annual,CANCEL,2026-01-03,1,2026-07-29,207,false,false
5619,S00255,annual,REDUCE,2026-02-23,1,2027-01-06,317,false,false
6895,S00258,annual,REDUCE,2026-05-23,1,2027-02-27,280,false,false
1138,S00259,annual,REDUCE,2024-12-21,1,2025-07-13,204,true,false
1804,S00259,annual,REDUCE,2025-03-15,1,2025-07-13,120,true,true
1973,S00261,annual,REDUCE,2025-04-02,1,2025-11-22,234,true,false
4734,S00261,annual,CANCEL,2025-12-17,2,2026-11-22,340,false,false
6667,S00263,monthly,REDUCE,2026-05-08,4,2026-05-14,6,true,true
3365,S00264,monthly,CANCEL,2025-08-18,5,2025-08-30,12,true,true
2399,S00266,annual,CANCEL,2025-05-18,1,2025-11-07,173,true,true
7043,S00270,annual,REDUCE,2026-06-01,1,2026-10-01,122,false,false
5859,S00271,monthly,REDUCE,2026-03-11,2,2026-04-02,22,true,true
1940,S00283,annual,CANCEL,2025-03-30,1,2025-12-16,261,true,true
3072,S00286,annual,CANCEL,2025-07-22,1,2026-02-01,194,true,true
7404,S00287,monthly,CANCEL,2026-06-25,5,2026-07-20,25,false,false
3394,S00293,monthly,REDUCE,2025-08-21,4,2025-08-27,6,true,true
4239,S00295,monthly,REDUCE,2025-11-05,10,2025-11-07,2,true,true
7254,S00295,monthly,CANCEL,2026-06-16,18,2026-07-07,21,false,false
2510,S00296,annual,CANCEL,2025-05-29,1,2026-04-19,325,true,true
7120,S00298,monthly,CANCEL,2026-06-07,17,2026-06-28,21,true,true
2678,S00302,monthly,REDUCE,2025-06-15,8,2025-06-25,10,true,true
6574,S00302,monthly,CANCEL,2026-05-02,19,2026-05-25,23,true,true
3002,S00305,monthly,CANCEL,2025-07-14,1,2025-07-24,10,true,true
4528,S00306,annual,REDUCE,2025-11-29,1,2026-10-14,319,false,false
7321,S00309,annual,CANCEL,2026-06-20,1,2026-06-26,6,true,true
2488,S00316,annual,REDUCE,2025-05-27,1,2025-10-19,145,true,true
2282,S00321,annual,CANCEL,2025-05-03,1,2026-03-21,322,true,true
2568,S00323,annual,REDUCE,2025-06-05,1,2025-10-24,141,true,true
5009,S00327,monthly,REDUCE,2026-01-09,11,2026-01-14,5,true,true
4646,S00329,annual,CANCEL,2025-12-10,1,2026-07-11,213,false,false
1433,S00331,monthly,CANCEL,2025-01-31,7,2025-02-04,4,true,true
7008,S00342,annual,REDUCE,2026-05-30,1,2026-06-27,28,true,true
6101,S00346,annual,REDUCE,2026-03-29,2,2026-12-22,268,false,false
7298,S00346,annual,ADD,2026-06-19,2,2026-12-22,186,false,false
7448,S00354,annual,CANCEL,2026-06-28,1,2026-11-06,131,false,false
6179,S00355,annual,REDUCE,2026-04-03,1,2026-12-19,260,false,false
1322,S00361,monthly,CANCEL,2025-01-14,3,2025-01-28,14,true,true
6575,S00364,annual,CANCEL,2026-05-02,1,2026-10-06,157,false,false
4782,S00365,annual,REDUCE,2025-12-21,1,2026-09-22,275,false,false
2230,S00369,annual,CANCEL,2025-04-27,1,2026-04-12,350,true,true
3451,S00370,annual,CANCEL,2025-08-26,1,2026-04-26,243,true,true
6387,S00375,monthly,CANCEL,2026-04-18,6,2026-05-15,27,true,true
2211,S00378,monthly,CANCEL,2025-04-25,10,2025-05-19,24,true,true
3527,S00383,annual,REDUCE,2025-09-01,1,2026-04-07,218,true,false
6742,S00383,annual,REDUCE,2026-05-12,2,2027-04-07,330,false,false
7110,S00383,annual,ADD,2026-06-06,2,2027-04-07,305,false,false
6094,S00386,annual,REDUCE,2026-03-28,1,2026-09-09,165,false,false
7024,S00387,monthly,REDUCE,2026-05-31,11,2026-06-13,13,true,true
1203,S00400,annual,REDUCE,2024-12-29,1,2025-12-25,361,true,true
4608,S00403,monthly,REDUCE,2025-12-07,2,2025-12-16,9,true,true
336,S00406,monthly,REDUCE,2024-09-01,2,2024-09-16,15,true,true
2002,S00406,monthly,REDUCE,2025-04-05,9,2025-04-16,11,true,true
6095,S00412,monthly,REDUCE,2026-03-28,19,2026-04-03,6,true,true
6529,S00412,monthly,REDUCE,2026-04-28,20,2026-05-03,5,true,true
482,S00414,annual,CANCEL,2024-09-23,1,2025-08-07,318,true,true
5749,S00429,annual,REDUCE,2026-03-03,1,2026-04-15,43,true,true
2309,S00431,monthly,CANCEL,2025-05-06,4,2025-06-02,27,true,true
6948,S00432,annual,REDUCE,2026-05-26,2,2026-10-11,138,false,false
4679,S00434,monthly,CANCEL,2025-12-13,4,2025-12-27,14,true,true
2178,S00440,monthly,CANCEL,2025-04-21,3,2025-04-28,7,true,true
1302,S00441,monthly,REDUCE,2025-01-12,2,2025-01-27,15,true,true
7199,S00441,monthly,REDUCE,2026-06-12,19,2026-06-27,15,true,true
2812,S00442,monthly,REDUCE,2025-06-27,3,2025-06-29,2,true,true
4888,S00452,monthly,CANCEL,2025-12-31,8,2026-01-02,2,true,true
5289,S00455,annual,CANCEL,2026-01-30,1,2026-11-11,285,false,false
6949,S00459,monthly,REDUCE,2026-05-26,12,2026-06-01,6,true,true
7147,S00470,monthly,REDUCE,2026-06-09,16,2026-07-05,26,false,false
4460,S00478,annual,REDUCE,2025-11-24,1,2026-10-08,318,false,false
6342,S00484,annual,CANCEL,2026-04-15,2,2026-11-04,203,false,false
3101,S00488,monthly,REDUCE,2025-07-25,11,2025-08-11,17,true,true
4759,S00489,annual,CANCEL,2025-12-19,1,2026-08-05,229,false,false
2518,S00494,annual,REDUCE,2025-05-30,1,2026-02-02,248,true,true
6669,S00495,annual,REDUCE,2026-05-08,1,2027-03-30,326,false,false
2519,S00500,annual,REDUCE,2025-05-30,1,2026-01-03,218,true,true
1928,S00509,annual,REDUCE,2025-03-29,1,2026-02-03,311,true,true
6782,S00509,annual,REDUCE,2026-05-15,2,2027-02-03,264,false,false
2381,S00511,annual,REDUCE,2025-05-16,1,2026-01-13,242,true,true
3203,S00513,monthly,REDUCE,2025-08-03,11,2025-08-06,3,true,true
5359,S00518,annual,REDUCE,2026-02-04,1,2027-01-25,355,false,false
3920,S00521,monthly,REDUCE,2025-10-07,8,2025-10-20,13,true,true
2622,S00522,annual,REDUCE,2025-06-09,1,2026-05-29,354,true,false
4529,S00522,annual,ADD,2025-11-29,1,2026-05-29,181,true,true
4426,S00523,monthly,REDUCE,2025-11-21,12,2025-12-20,29,true,true
6195,S00524,annual,CANCEL,2026-04-04,2,2026-07-24,111,false,false
6343,S00533,annual,REDUCE,2026-04-15,2,2026-12-23,252,false,false
2864,S00539,annual,REDUCE,2025-07-01,1,2026-04-06,279,true,false
3326,S00539,annual,REDUCE,2025-08-14,1,2026-04-06,235,true,true
6121,S00543,annual,REDUCE,2026-03-30,1,2026-11-21,236,false,false
4614,S00544,annual,REDUCE,2025-12-08,1,2026-03-20,102,true,false
2365,S00548,annual,REDUCE,2025-05-14,1,2025-12-27,227,true,true
2356,S00550,annual,CANCEL,2025-05-12,1,2026-03-17,309,true,true
1829,S00559,monthly,REDUCE,2025-03-19,4,2025-04-19,31,true,true
2400,S00560,annual,REDUCE,2025-05-18,1,2025-11-20,186,true,true
7082,S00561,monthly,CANCEL,2026-06-04,13,2026-06-09,5,true,true
6039,S00567,annual,REDUCE,2026-03-24,1,2027-02-24,337,false,false
6216,S00572,annual,REDUCE,2026-04-06,1,2026-07-11,96,false,false
6102,S00573,annual,CANCEL,2026-03-29,1,2027-03-28,364,false,false
821,S00576,monthly,CANCEL,2024-11-10,1,2024-12-02,22,true,true
3328,S00578,monthly,CANCEL,2025-08-14,1,2025-09-13,30,true,true
3603,S00583,monthly,REDUCE,2025-09-08,6,2025-09-24,16,true,true
6576,S00586,monthly,CANCEL,2026-05-02,2,2026-05-15,13,true,true
176,S00587,annual,CANCEL,2024-08-03,1,2025-07-21,352,true,true
4530,S00589,annual,CANCEL,2025-11-29,1,2026-05-06,158,true,true
6868,S00595,annual,CANCEL,2026-05-21,2,2027-01-20,244,false,false
316,S00604,annual,REDUCE,2024-08-29,1,2025-07-28,333,true,true
6720,S00607,annual,REDUCE,2026-05-11,1,2027-04-29,353,false,false
2992,S00609,monthly,REDUCE,2025-07-13,4,2025-08-12,30,true,true
7083,S00609,monthly,CANCEL,2026-06-04,14,2026-06-12,8,true,true
5954,S00612,annual,REDUCE,2026-03-18,1,2027-02-19,338,false,false
6154,S00612,annual,REDUCE,2026-04-01,1,2027-02-19,324,false,false
2383,S00614,monthly,REDUCE,2025-05-16,6,2025-05-24,8,true,true
2608,S00614,monthly,REDUCE,2025-06-08,7,2025-06-24,16,true,true
6896,S00621,monthly,CANCEL,2026-05-23,16,2026-06-18,26,true,true
4901,S00622,monthly,REDUCE,2026-01-01,6,2026-01-19,18,true,true
3452,S00624,monthly,REDUCE,2025-08-26,5,2025-09-09,14,true,true
2570,S00626,monthly,REDUCE,2025-06-05,1,2025-06-25,20,true,true
2341,S00639,annual,REDUCE,2025-05-10,1,2025-08-10,92,true,false
2921,S00639,annual,CANCEL,2025-07-06,1,2025-08-10,35,true,true
1098,S00642,annual,REDUCE,2024-12-17,1,2025-07-03,198,true,true
3825,S00643,annual,REDUCE,2025-09-29,1,2026-02-02,126,true,true
1981,S00644,monthly,REDUCE,2025-04-03,9,2025-04-19,16,true,true
1873,S00662,annual,REDUCE,2025-03-24,1,2026-01-02,284,true,true
6743,S00667,monthly,REDUCE,2026-05-12,10,2026-06-12,31,true,true
1244,S00668,annual,CANCEL,2025-01-04,1,2025-07-27,204,true,true
2528,S00671,annual,REDUCE,2025-05-31,1,2025-08-09,70,true,true
1617,S00679,annual,REDUCE,2025-02-21,1,2026-02-15,359,true,false
2391,S00679,annual,REDUCE,2025-05-17,1,2026-02-15,274,true,false
4446,S00679,annual,ADD,2025-11-23,1,2026-02-15,84,true,true
3092,S00681,annual,REDUCE,2025-07-24,2,2026-07-19,360,false,false
2247,S00682,annual,REDUCE,2025-04-29,1,2025-07-27,89,true,false
2317,S00682,annual,REDUCE,2025-05-08,1,2025-07-27,80,true,true
2554,S00684,monthly,REDUCE,2025-06-03,5,2025-06-20,17,true,true
6071,S00697,monthly,REDUCE,2026-03-27,10,2026-04-06,10,true,true
6368,S00697,monthly,REDUCE,2026-04-17,11,2026-05-06,19,true,true
5552,S00700,annual,REDUCE,2026-02-19,1,2027-01-15,330,false,false
6577,S00704,annual,CANCEL,2026-05-02,1,2026-06-26,55,true,true
2638,S00706,annual,REDUCE,2025-06-10,1,2025-09-24,106,true,true
1905,S00708,annual,REDUCE,2025-03-27,1,2026-01-02,281,true,true
1303,S00709,annual,REDUCE,2025-01-12,1,2025-11-28,320,true,true
4647,S00709,annual,CANCEL,2025-12-10,2,2026-11-28,353,false,false
3921,S00710,annual,CANCEL,2025-10-07,1,2026-05-29,234,true,true
5201,S00711,annual,REDUCE,2026-01-24,1,2027-01-11,352,false,false
5202,S00716,annual,REDUCE,2026-01-24,2,2026-12-19,329,false,false
6298,S00716,annual,REDUCE,2026-04-12,2,2026-12-19,251,false,false
3204,S00717,monthly,REDUCE,2025-08-03,4,2025-08-21,18,true,true
4045,S00717,monthly,CANCEL,2025-10-19,6,2025-10-21,2,true,true
1561,S00719,annual,REDUCE,2025-02-15,1,2025-12-09,297,true,false
2931,S00719,annual,REDUCE,2025-07-07,1,2025-12-09,155,true,false
3968,S00719,annual,REDUCE,2025-10-12,1,2025-12-09,58,true,true
4976,S00726,annual,REDUCE,2026-01-07,1,2026-04-12,95,true,true
3293,S00728,annual,REDUCE,2025-08-11,1,2026-03-24,225,true,false
4569,S00735,monthly,REDUCE,2025-12-03,5,2025-12-06,3,true,true
4486,S00737,annual,CANCEL,2025-11-26,1,2026-06-06,192,true,true
6010,S00746,annual,REDUCE,2026-03-22,1,2027-03-19,362,false,false
4514,S00747,monthly,REDUCE,2025-11-28,17,2025-12-23,25,true,true
3366,S00751,annual,REDUCE,2025-08-18,1,2026-01-25,160,true,true
5509,S00756,monthly,REDUCE,2026-02-16,4,2026-03-02,14,true,true
6950,S00758,annual,CANCEL,2026-05-26,1,2026-12-25,213,false,false
5868,S00766,annual,CANCEL,2026-03-12,1,2026-04-05,24,true,true
4293,S00770,annual,CANCEL,2025-11-10,1,2026-05-29,200,true,true
4500,S00774,monthly,CANCEL,2025-11-27,12,2025-12-02,5,true,true
1221,S00776,monthly,REDUCE,2025-01-01,2,2025-01-11,10,true,true
1992,S00776,monthly,CANCEL,2025-04-04,5,2025-04-11,7,true,true
