invoice_line_key,month_key,channel,partner_id,customer_key,invoice_amount_cents,constituent_count,constituent_sum_cents,tie_out_difference_cents
2024-07|DIRECT|C00050,2024-07,direct,DIRECT,C00050,207000,1,207000,0
2024-07|DIRECT|C00315,2024-07,direct,DIRECT,C00315,57806,1,57806,0
2024-07|DIRECT|C01786,2024-07,direct,DIRECT,C01786,12774,1,12774,0
2024-07|DIRECT|C02448,2024-07,direct,DIRECT,C02448,48581,1,48581,0
2024-07|DIRECT|C02506,2024-07,direct,DIRECT,C02506,414581,1,414581,0
2024-07|DIRECT|C02786,2024-07,direct,DIRECT,C02786,9419,1,9419,0
2024-07|DIRECT|C03228,2024-07,direct,DIRECT,C03228,146097,1,146097,0
2024-07|DIRECT|C03958,2024-07,direct,DIRECT,C03958,156452,1,156452,0
2024-07|P1|,2024-07,partner,P1,,687913,87,687913,0
2024-07|P2|,2024-07,partner,P2,,239412,35,239412,0
2024-07|P3|,2024-07,partner,P3,,131155,22,131155,0
2024-08|DIRECT|C00050,2024-08,direct,DIRECT,C00050,207000,1,207000,0
2024-08|DIRECT|C00315,2024-08,direct,DIRECT,C00315,256000,1,256000,0
2024-08|DIRECT|C00491,2024-08,direct,DIRECT,C00491,29516,1,29516,0
2024-08|DIRECT|C00791,2024-08,direct,DIRECT,C00791,283355,1,283355,0
2024-08|DIRECT|C01786,2024-08,direct,DIRECT,C01786,132000,1,132000,0
2024-08|DIRECT|C02448,2024-08,direct,DIRECT,C02448,174000,1,174000,0
2024-08|DIRECT|C02506,2024-08,direct,DIRECT,C02506,612000,1,612000,0
2024-08|DIRECT|C02783,2024-08,direct,DIRECT,C02783,37258,1,37258,0
2024-08|DIRECT|C02786,2024-08,direct,DIRECT,C02786,73000,1,73000,0
2024-08|DIRECT|C03065,2024-08,direct,DIRECT,C03065,62419,1,62419,0
2024-08|DIRECT|C03228,2024-08,direct,DIRECT,C03228,169000,1,169000,0
2024-08|DIRECT|C03958,2024-08,direct,DIRECT,C03958,194000,1,194000,0
2024-08|P1|,2024-08,partner,P1,,1779364,162,1779364,0
2024-08|P2|,2024-08,partner,P2,,788406,71,788406,0
2024-08|P3|,2024-08,partner,P3,,468122,49,468122,0
2024-09|DIRECT|C00050,2024-09,direct,DIRECT,C00050,207000,1,207000,0
2024-09|DIRECT|C00315,2024-09,direct,DIRECT,C00315,256000,1,256000,0
2024-09|DIRECT|C00464,2024-09,direct,DIRECT,C00464,184000,1,184000,0
2024-09|DIRECT|C00491,2024-09,direct,DIRECT,C00491,183000,1,183000,0
2024-09|DIRECT|C00791,2024-09,direct,DIRECT,C00791,549000,1,549000,0
2024-09|DIRECT|C01786,2024-09,direct,DIRECT,C01786,132000,1,132000,0
2024-09|DIRECT|C01796,2024-09,direct,DIRECT,C01796,328500,1,328500,0
2024-09|DIRECT|C01899,2024-09,direct,DIRECT,C01899,233133,1,233133,0
2024-09|DIRECT|C02183,2024-09,direct,DIRECT,C02183,1283040,1,1283040,0
2024-09|DIRECT|C02348,2024-09,direct,DIRECT,C02348,40040,1,40040,0
2024-09|DIRECT|C02448,2024-09,direct,DIRECT,C02448,174000,1,174000,0
2024-09|DIRECT|C02506,2024-09,direct,DIRECT,C02506,612000,1,612000,0
2024-09|DIRECT|C02783,2024-09,direct,DIRECT,C02783,105000,1,105000,0
2024-09|DIRECT|C02786,2024-09,direct,DIRECT,C02786,73000,1,73000,0
2024-09|DIRECT|C03024,2024-09,direct,DIRECT,C03024,148800,1,148800,0
2024-09|DIRECT|C03065,2024-09,direct,DIRECT,C03065,387000,1,387000,0
2024-09|DIRECT|C03228,2024-09,direct,DIRECT,C03228,169000,1,169000,0
2024-09|DIRECT|C03331,2024-09,direct,DIRECT,C03331,8133,1,8133,0
2024-09|DIRECT|C03575,2024-09,direct,DIRECT,C03575,35200,1,35200,0
2024-09|DIRECT|C03958,2024-09,direct,DIRECT,C03958,194000,1,194000,0
2024-09|P1|,2024-09,partner,P1,,2823148,254,2823148,0
2024-09|P2|,2024-09,partner,P2,,1661011,138,1661011,0
2024-09|P3|,2024-09,partner,P3,,875568,72,875568,0
2024-10|DIRECT|C00050,2024-10,direct,DIRECT,C00050,207000,1,207000,0
2024-10|DIRECT|C00315,2024-10,direct,DIRECT,C00315,256000,1,256000,0
2024-10|DIRECT|C00464,2024-10,direct,DIRECT,C00464,220800,1,220800,0
2024-10|DIRECT|C00491,2024-10,direct,DIRECT,C00491,183000,1,183000,0
2024-10|DIRECT|C00791,2024-10,direct,DIRECT,C00791,549000,1,549000,0
2024-10|DIRECT|C01136,2024-10,direct,DIRECT,C01136,135000,1,135000,0
2024-10|DIRECT|C01613,2024-10,direct,DIRECT,C01613,279600,1,279600,0
2024-10|DIRECT|C01786,2024-10,direct,DIRECT,C01786,132000,1,132000,0
2024-10|DIRECT|C01791,2024-10,direct,DIRECT,C01791,20516,1,20516,0
2024-10|DIRECT|C01796,2024-10,direct,DIRECT,C01796,365000,1,365000,0
2024-10|DIRECT|C01899,2024-10,direct,DIRECT,C01899,538000,1,538000,0
2024-10|DIRECT|C02183,2024-10,direct,DIRECT,C02183,2138400,1,2138400,0
2024-10|DIRECT|C02348,2024-10,direct,DIRECT,C02348,109200,1,109200,0
2024-10|DIRECT|C02448,2024-10,direct,DIRECT,C02448,174000,1,174000,0
2024-10|DIRECT|C02506,2024-10,direct,DIRECT,C02506,612000,1,612000,0
2024-10|DIRECT|C02783,2024-10,direct,DIRECT,C02783,105000,1,105000,0
2024-10|DIRECT|C02786,2024-10,direct,DIRECT,C02786,73000,1,73000,0
2024-10|DIRECT|C03024,2024-10,direct,DIRECT,C03024,744000,1,744000,0
2024-10|DIRECT|C03065,2024-10,direct,DIRECT,C03065,387000,1,387000,0
2024-10|DIRECT|C03155,2024-10,direct,DIRECT,C03155,7316,1,7316,0
2024-10|DIRECT|C03228,2024-10,direct,DIRECT,C03228,169000,1,169000,0
2024-10|DIRECT|C03260,2024-10,direct,DIRECT,C03260,36290,1,36290,0
2024-10|DIRECT|C03331,2024-10,direct,DIRECT,C03331,122000,1,122000,0
2024-10|DIRECT|C03575,2024-10,direct,DIRECT,C03575,528000,1,528000,0
2024-10|DIRECT|C03958,2024-10,direct,DIRECT,C03958,194000,1,194000,0
2024-10|P1|,2024-10,partner,P1,,3931177,340,3931177,0
2024-10|P2|,2024-10,partner,P2,,2325388,193,2325388,0
2024-10|P3|,2024-10,partner,P3,,1057005,92,1057005,0
2024-11|DIRECT|C00050,2024-11,direct,DIRECT,C00050,207000,1,207000,0
2024-11|DIRECT|C00235,2024-11,direct,DIRECT,C00235,62700,1,62700,0
2024-11|DIRECT|C00304,2024-11,direct,DIRECT,C00304,95200,1,95200,0
2024-11|DIRECT|C00315,2024-11,direct,DIRECT,C00315,256000,1,256000,0
2024-11|DIRECT|C00464,2024-11,direct,DIRECT,C00464,220800,1,220800,0
2024-11|DIRECT|C00491,2024-11,direct,DIRECT,C00491,183000,1,183000,0
2024-11|DIRECT|C00791,2024-11,direct,DIRECT,C00791,549000,1,549000,0
2024-11|DIRECT|C00874,2024-11,direct,DIRECT,C00874,20333,1,20333,0
2024-11|DIRECT|C01054,2024-11,direct,DIRECT,C01054,340480,1,340480,0
2024-11|DIRECT|C01136,2024-11,direct,DIRECT,C01136,135000,1,135000,0
2024-11|DIRECT|C01613,2024-11,direct,DIRECT,C01613,279600,1,279600,0
2024-11|DIRECT|C01697,2024-11,direct,DIRECT,C01697,47000,1,47000,0
2024-11|DIRECT|C01786,2024-11,direct,DIRECT,C01786,132000,1,132000,0
2024-11|DIRECT|C01791,2024-11,direct,DIRECT,C01791,318000,1,318000,0
2024-11|DIRECT|C01796,2024-11,direct,DIRECT,C01796,365000,1,365000,0
2024-11|DIRECT|C01828,2024-11,direct,DIRECT,C01828,252300,1,252300,0
2024-11|DIRECT|C01899,2024-11,direct,DIRECT,C01899,538000,1,538000,0
2024-11|DIRECT|C02183,2024-11,direct,DIRECT,C02183,2138400,1,2138400,0
2024-11|DIRECT|C02288,2024-11,direct,DIRECT,C02288,423200,1,423200,0
2024-11|DIRECT|C02341,2024-11,direct,DIRECT,C02341,46240,1,46240,0
2024-11|DIRECT|C02348,2024-11,direct,DIRECT,C02348,109200,1,109200,0
2024-11|DIRECT|C02448,2024-11,direct,DIRECT,C02448,174000,1,174000,0
2024-11|DIRECT|C02506,2024-11,direct,DIRECT,C02506,612000,1,612000,0
2024-11|DIRECT|C02547,2024-11,direct,DIRECT,C02547,21400,1,21400,0
2024-11|DIRECT|C02647,2024-11,direct,DIRECT,C02647,48033,1,48033,0
2024-11|DIRECT|C02746,2024-11,direct,DIRECT,C02746,60900,1,60900,0
2024-11|DIRECT|C02783,2024-11,direct,DIRECT,C02783,105000,1,105000,0
2024-11|DIRECT|C02786,2024-11,direct,DIRECT,C02786,73000,1,73000,0
2024-11|DIRECT|C03024,2024-11,direct,DIRECT,C03024,744000,1,744000,0
2024-11|DIRECT|C03065,2024-11,direct,DIRECT,C03065,387000,1,387000,0
2024-11|DIRECT|C03155,2024-11,direct,DIRECT,C03155,226800,1,226800,0
2024-11|DIRECT|C03228,2024-11,direct,DIRECT,C03228,171500,1,171500,0
2024-11|DIRECT|C03260,2024-11,direct,DIRECT,C03260,75000,1,75000,0
2024-11|DIRECT|C03331,2024-11,direct,DIRECT,C03331,122000,1,122000,0
2024-11|DIRECT|C03353,2024-11,direct,DIRECT,C03353,232400,1,232400,0
2024-11|DIRECT|C03575,2024-11,direct,DIRECT,C03575,528000,1,528000,0
2024-11|DIRECT|C03958,2024-11,direct,DIRECT,C03958,194000,1,194000,0
2024-11|P1|,2024-11,partner,P1,,5200223,439,5200223,0
2024-11|P2|,2024-11,partner,P2,,2978479,246,2978479,0
2024-11|P3|,2024-11,partner,P3,,1280721,114,1280721,0
2024-12|DIRECT|C00050,2024-12,direct,DIRECT,C00050,207000,1,207000,0
2024-12|DIRECT|C00235,2024-12,direct,DIRECT,C00235,209000,1,209000,0
2024-12|DIRECT|C00304,2024-12,direct,DIRECT,C00304,102000,1,102000,0
2024-12|DIRECT|C00315,2024-12,direct,DIRECT,C00315,256000,1,256000,0
2024-12|DIRECT|C00464,2024-12,direct,DIRECT,C00464,263381,1,263381,0
2024-12|DIRECT|C00491,2024-12,direct,DIRECT,C00491,183000,1,183000,0
2024-12|DIRECT|C00791,2024-12,direct,DIRECT,C00791,549000,1,549000,0
2024-12|DIRECT|C00874,2024-12,direct,DIRECT,C00874,122000,1,122000,0
2024-12|DIRECT|C01054,2024-12,direct,DIRECT,C01054,638400,1,638400,0
2024-12|DIRECT|C01136,2024-12,direct,DIRECT,C01136,135000,1,135000,0
2024-12|DIRECT|C01613,2024-12,direct,DIRECT,C01613,279600,1,279600,0
2024-12|DIRECT|C01697,2024-12,direct,DIRECT,C01697,235000,1,235000,0
2024-12|DIRECT|C01786,2024-12,direct,DIRECT,C01786,132000,1,132000,0
2024-12|DIRECT|C01791,2024-12,direct,DIRECT,C01791,318000,1,318000,0
2024-12|DIRECT|C01796,2024-12,direct,DIRECT,C01796,365000,1,365000,0
2024-12|DIRECT|C01828,2024-12,direct,DIRECT,C01828,261000,1,261000,0
2024-12|DIRECT|C01899,2024-12,direct,DIRECT,C01899,538000,1,538000,0
2024-12|DIRECT|C02183,2024-12,direct,DIRECT,C02183,1700052,1,1700052,0
2024-12|DIRECT|C02283,2024-12,direct,DIRECT,C02283,217548,1,217548,0
2024-12|DIRECT|C02288,2024-12,direct,DIRECT,C02288,552000,1,552000,0
2024-12|DIRECT|C02341,2024-12,direct,DIRECT,C02341,101187,1,101187,0
2024-12|DIRECT|C02348,2024-12,direct,DIRECT,C02348,109200,1,109200,0
2024-12|DIRECT|C02448,2024-12,direct,DIRECT,C02448,174000,1,174000,0
2024-12|DIRECT|C02506,2024-12,direct,DIRECT,C02506,612000,1,612000,0
2024-12|DIRECT|C02547,2024-12,direct,DIRECT,C02547,128400,1,128400,0
2024-12|DIRECT|C02647,2024-12,direct,DIRECT,C02647,131000,1,131000,0
2024-12|DIRECT|C02746,2024-12,direct,DIRECT,C02746,63000,1,63000,0
2024-12|DIRECT|C02783,2024-12,direct,DIRECT,C02783,118613,2,118613,0
2024-12|DIRECT|C02786,2024-12,direct,DIRECT,C02786,73000,1,73000,0
2024-12|DIRECT|C02861,2024-12,direct,DIRECT,C02861,142581,1,142581,0
2024-12|DIRECT|C03024,2024-12,direct,DIRECT,C03024,744000,1,744000,0
2024-12|DIRECT|C03065,2024-12,direct,DIRECT,C03065,387000,1,387000,0
2024-12|DIRECT|C03155,2024-12,direct,DIRECT,C03155,226800,1,226800,0
2024-12|DIRECT|C03228,2024-12,direct,DIRECT,C03228,244000,1,244000,0
2024-12|DIRECT|C03260,2024-12,direct,DIRECT,C03260,75000,1,75000,0
2024-12|DIRECT|C03316,2024-12,direct,DIRECT,C03316,16677,1,16677,0
