transaction_id,received_date,subscription_key,transaction_type,requested_quantity,term_type,source,accepted,rejection_reason
1,2024-07-01,S00055,NEW,207,annual,contract_record,true,
2,2024-07-01,S00849,NEW,4,annual,partner_api_order,true,
3,2024-07-01,S00989,NEW,6,monthly,partner_api_order,true,
4,2024-07-01,S01382,NEW,8,monthly,partner_api_order,true,
5,2024-07-01,S02111,NEW,20,annual,partner_api_order,true,
6,2024-07-01,S02802,NEW,9,annual,partner_api_order,true,
7,2024-07-01,S04010,NEW,4,annual,partner_api_order,true,
8,2024-07-02,S01557,NEW,10,monthly,partner_api_order,true,
9,2024-07-02,S02016,NEW,7,annual,partner_api_order,true,
10,2024-07-02,S03184,NEW,7,monthly,partner_api_order,true,
11,2024-07-02,S03190,NEW,3,annual,partner_api_order,true,
12,2024-07-02,S03235,NEW,20,annual,partner_api_order,true,
13,2024-07-02,S03314,NEW,42,monthly,partner_api_order,true,
14,2024-07-02,S04156,NEW,7,annual,partner_api_order,true,
15,2024-07-02,S04241,NEW,10,monthly,partner_api_order,true,
16,2024-07-03,S00642,NEW,6,annual,partner_api_order,true,
17,2024-07-03,S01264,NEW,7,monthly,partner_api_order,true,
18,2024-07-03,S02315,NEW,11,annual,partner_api_order,true,
19,2024-07-03,S02870,NEW,8,annual,partner_api_order,true,
20,2024-07-03,S03132,NEW,4,annual,partner_api_order,true,
21,2024-07-04,S00331,NEW,22,monthly,partner_api_order,true,
22,2024-07-04,S02469,NEW,9,annual,partner_api_order,true,
23,2024-07-04,S02766,NEW,1,monthly,partner_api_order,true,
24,2024-07-04,S03885,NEW,80,monthly,partner_api_order,true,
25,2024-07-05,S00014,NEW,15,annual,partner_api_order,true,
26,2024-07-05,S01318,NEW,13,annual,partner_api_order,true,
27,2024-07-05,S03252,NEW,2,annual,partner_api_order,true,
28,2024-07-05,S03542,NEW,152,annual,contract_record,true,
29,2024-07-06,S00798,NEW,5,monthly,partner_api_order,true,
30,2024-07-06,S00855,NEW,10,monthly,partner_api_order,true,
31,2024-07-06,S01592,NEW,2,monthly,partner_api_order,true,
32,2024-07-06,S02352,NEW,7,annual,partner_api_order,true,
33,2024-07-06,S02971,NEW,1,monthly,partner_api_order,true,
34,2024-07-06,S03925,NEW,4,annual,partner_api_order,true,
35,2024-07-06,S04104,NEW,22,annual,partner_api_order,true,
36,2024-07-07,S04351,NEW,194,annual,contract_record,true,
37,2024-07-07,S03542,ADD,169,,contract_record,true,
38,2024-07-08,S01209,NEW,10,annual,partner_api_order,true,
39,2024-07-08,S01463,NEW,15,annual,partner_api_order,true,
40,2024-07-08,S01525,NEW,14,monthly,partner_api_order,true,
41,2024-07-08,S03421,NEW,21,annual,partner_api_order,true,
42,2024-07-09,S00877,NEW,7,annual,partner_api_order,true,
