customer_key,partner_id,customer_ref,channel
C00001,P1,00001,partner
C00002,P1,00002,partner
C00003,P1,00003,partner
C00004,P2,00001,partner
C00005,P2,00002,partner
C00006,P1,00004,partner
C00007,P1,00005,partner
C00008,P1,00006,partner
C00009,P1,00007,partner
C00010,DIRECT,00001,direct
C00011,P1,00008,partner
C00012,P2,00003,partner
C00013,P1,00009,partner
C00014,P1,00010,partner
C00015,P1,00011,partner
C00016,P1,00012,partner
C00017,P3,00001,partner
C00018,P1,00013,partner
C00019,P2,00004,partner
C00020,P1,00014,partner
C00021,P2,00005,partner
C00022,P1,00015,partner
C00023,P1,00016,partner
C00024,P1,00017,partner
C00025,P2,00006,partner
C00026,P3,00002,partner
C00027,P1,00018,partner
C00028,P2,00007,partner
C00029,P2,00008,partner
C00030,P1,00019,partner
C00031,P3,00003,partner
C00032,P2,00009,partner
C00033,P2,00010,partner
C00034,P1,00020,partner
C00035,P1,00021,partner
C00036,P2,00011,partner
C00037,P1,00022,partner
C00038,P3,00004,partner
C00039,P2,00012,partner
C00040,P2,00013,partner
C00041,P3,00005,partner
C00042,P1,00023,partner
C00043,P3,00006,partner
C00044,P2,00014,partner
C00045,P2,00015,partner
C00046,P1,00024,partner
C00047,P2,00016,partner
C00048,P1,00025,partner
C00049,P3,00007,partner
C00050,DIRECT,00002,direct
C00051,P1,00026,partner
C00052,P1,00027,partner
C00053,P2,00017,partner
C00054,P2,00018,partner
C00055,P1,00028,partner
C00056,P1,00029,partner
C00057,P1,00030,partner
C00058,P2,00019,partner
C00059,P1,00031,partner
C00060,DIRECT,00003,direct
C00061,P2,00020,partner
C00062,P2,00021,partner
C00063,P1,00032,partner
C00064,P2,00022,partner
C00065,P1,00033,partner
C00066,P1,00034,partner
C00067,P1,00035,partner
C00068,P1,00036,partner
C00069,P2,00023,partner
C00070,DIRECT,00004,direct
C00071,P2,00024,partner
C00072,P1,00037,partner
C00073,P1,00038,partner
C00074,P2,00025,partner
C00075,P1,00039,partner
C00076,P1,00040,partner
C00077,P1,00041,partner
C00078,P1,00042,partner
C00079,P3,00008,partner
C00080,P1,00043,partner
C00081,P1,00044,partner
C00082,P3,00009,partner
C00083,P1,00045,partner
C00084,P1,00046,partner
C00085,P2,00026,partner
C00086,P3,00010,partner
C00087,P1,00047,partner
C00088,P3,00011,partner
C00089,P3,00012,partner
C00090,P1,00048,partner
C00091,P1,00049,partner
C00092,P1,00050,partner
C00093,P2,00027,partner
C00094,P1,00051,partner
C00095,P3,00013,partner
C00096,P3,00014,partner
C00097,P3,00015,partner
C00098,P1,00052,partner
C00099,P1,00053,partner
C00100,P3,00016,partner
C00101,P1,00054,partner
C00102,P3,00017,partner
C00103,P1,00055,partner
C00104,P1,00056,partner
C00105,P2,00028,partner
C00106,P1,00057,partner
C00107,P1,00058,partner
C00108,P2,00029,partner
C00109,P2,00030,partner
C00110,P1,00059,partner
C00111,P1,00060,partner
C00112,P2,00031,partner
C00113,P3,00018,partner
C00114,P1,00061,partner
C00115,P1,00062,partner
C00116,P2,00032,partner
C00117,P3,00019,partner
C00118,P2,00033,partner
C00119,P2,00034,partner
C00120,P2,00035,partner
C00121,P1,00063,partner
C00122,P1,00064,partner
C00123,P1,00065,partner
C00124,P1,00066,partner
C00125,P1,00067,partner
C00126,P1,00068,partner
C00127,P1,00069,partner
C00128,P2,00036,partner
C00129,DIRECT,00005,direct
C00130,P1,00070,partner
C00131,P1,00071,partner
C00132,P3,00020,partner
C00133,P1,00072,partner
C00134,P1,00073,partner
C00135,P1,00074,partner
C00136,P1,00075,partner
C00137,P3,00021,partner
C00138,P1,00076,partner
C00139,P2,00037,partner
C00140,P2,00038,partner
C00141,P1,00077,partner
C00142,P1,00078,partner
C00143,P2,00039,partner
C00144,P2,00040,partner
C00145,P1,00079,partner
C00146,P2,00041,partner
C00147,P2,00042,partner
C00148,P1,00080,partner
C00149,P1,00081,partner
C00150,P1,00082,partner
C00151,P1,00083,partner
C00152,P1,00084,partner
C00153,P2,00043,partner
C00154,P3,00022,partner
C00155,P2,00044,partner
C00156,P3,00023,partner
C00157,P2,00045,partner
C00158,P2,00046,partner
C00159,P1,00085,partner
C00160,P1,00086,partner
C00161,P1,00087,partner
C00162,P2,00047,partner
C00163,P2,00048,partner
C00164,P1,00088,partner
C00165,P1,00089,partner
C00166,P1,00090,partner
C00167,P1,00091,partner
C00168,P2,00049,partner
C00169,P2,00050,partner
C00170,P1,00092,partner
C00171,P2,00051,partner
C00172,DIRECT,00006,direct
C00173,P2,00052,partner
C00174,P2,00053,partner
C00175,P1,00093,partner
C00176,P1,00094,partner
C00177,P1,00095,partner
C00178,P1,00096,partner
C00179,P1,00097,partner
C00180,P1,00098,partner
C00181,P2,00054,partner
C00182,P1,00099,partner
C00183,P1,00100,partner
C00184,P3,00024,partner
C00185,P1,00101,partner
C00186,P2,00055,partner
C00187,P2,00056,partner
C00188,P2,00057,partner
C00189,P1,00102,partner
C00190,P2,00058,partner
C00191,DIRECT,00007,direct
C00192,DIRECT,00008,direct
C00193,P1,00103,partner
C00194,P2,00059,partner
C00195,P2,00060,partner
C00196,P2,00061,partner
C00197,P2,00062,partner
C00198,P1,00104,partner
C00199,P1,00105,partner
C00200,P1,00106,partner
C00201,P1,00107,partner
C00202,P1,00108,partner
C00203,P1,00109,partner
C00204,P1,00110,partner
C00205,P1,00111,partner
C00206,P3,00025,partner
C00207,P1,00112,partner
C00208,P1,00113,partner
C00209,DIRECT,00009,direct
C00210,P3,00026,partner
C00211,P1,00114,partner
C00212,DIRECT,00010,direct
C00213,P1,00115,partner
C00214,P1,00116,partner
C00215,P1,00117,partner
C00216,P1,00118,partner
C00217,P2,00063,partner
C00218,P2,00064,partner
C00219,P1,00119,partner
C00220,P2,00065,partner
C00221,P2,00066,partner
C00222,DIRECT,00011,direct
C00223,P3,00027,partner
C00224,P3,00028,partner
C00225,P1,00120,partner
C00226,P1,00121,partner
C00227,P1,00122,partner
C00228,P2,00067,partner
C00229,P1,00123,partner
C00230,P1,00124,partner
C00231,P2,00068,partner
C00232,P2,00069,partner
C00233,P2,00070,partner
C00234,P2,00071,partner
C00235,DIRECT,00012,direct
C00236,P2,00072,partner
C00237,P1,00125,partner
C00238,P2,00073,partner
C00239,P2,00074,partner
C00240,P1,00126,partner
C00241,DIRECT,00013,direct
C00242,P3,00029,partner
C00243,P1,00127,partner
C00244,P1,00128,partner
C00245,P2,00075,partner
C00246,P1,00129,partner
C00247,P1,00130,partner
C00248,P1,00131,partner
C00249,P2,00076,partner
C00250,P1,00132,partner
C00251,P3,00030,partner
C00252,P1,00133,partner
C00253,P1,00134,partner
C00254,P1,00135,partner
C00255,P3,00031,partner
C00256,P1,00136,partner
C00257,P1,00137,partner
C00258,P2,00077,partner
C00259,P1,00138,partner
C00260,P2,00078,partner
C00261,P2,00079,partner
C00262,P2,00080,partner
C00263,P3,00032,partner
C00264,P1,00139,partner
C00265,P2,00081,partner
C00266,P1,00140,partner
C00267,P3,00033,partner
C00268,P2,00082,partner
C00269,P3,00034,partner
C00270,P1,00141,partner
C00271,P1,00142,partner
C00272,P2,00083,partner
C00273,P1,00143,partner
C00274,P1,00144,partner
C00275,P2,00084,partner
C00276,P1,00145,partner
C00277,P2,00085,partner
C00278,P2,00086,partner
C00279,P1,00146,partner
C00280,P1,00147,partner
C00281,P1,00148,partner
C00282,P1,00149,partner
C00283,P1,00150,partner
C00284,P1,00151,partner
C00285,P2,00087,partner
C00286,P2,00088,partner
