transaction_id,received_date,subscription_key,transaction_type,requested_quantity,term_type,source
1,2024-07-01,S00055,NEW,207,annual,contract_record
2,2024-07-01,S00849,NEW,4,annual,partner_api_order
3,2024-07-01,S00989,NEW,6,monthly,partner_api_order
4,2024-07-01,S01382,NEW,8,monthly,partner_api_order
5,2024-07-01,S02111,NEW,20,annual,partner_api_order
6,2024-07-01,S02802,NEW,9,annual,partner_api_order
7,2024-07-01,S04010,NEW,4,annual,partner_api_order
8,2024-07-02,S01557,NEW,10,monthly,partner_api_order
9,2024-07-02,S02016,NEW,7,annual,partner_api_order
10,2024-07-02,S03184,NEW,7,monthly,partner_api_order
11,2024-07-02,S03190,NEW,3,annual,partner_api_order
12,2024-07-02,S03235,NEW,20,annual,partner_api_order
13,2024-07-02,S03314,NEW,42,monthly,partner_api_order
14,2024-07-02,S04156,NEW,7,annual,partner_api_order
15,2024-07-02,S04241,NEW,10,monthly,partner_api_order
16,2024-07-03,S00642,NEW,6,annual,partner_api_order
17,2024-07-03,S01264,NEW,7,monthly,partner_api_order
18,2024-07-03,S02315,NEW,11,annual,partner_api_order
19,2024-07-03,S02870,NEW,8,annual,partner_api_order
20,2024-07-03,S03132,NEW,4,annual,partner_api_order
21,2024-07-04,S00331,NEW,22,monthly,partner_api_order
22,2024-07-04,S02469,NEW,9,annual,partner_api_order
23,2024-07-04,S02766,NEW,1,monthly,partner_api_order
24,2024-07-04,S03885,NEW,80,monthly,partner_api_order
25,2024-07-05,S00014,NEW,15,annual,partner_api_order
26,2024-07-05,S01318,NEW,13,annual,partner_api_order
27,2024-07-05,S03252,NEW,2,annual,partner_api_order
28,2024-07-05,S03542,NEW,152,annual,contract_record
29,2024-07-06,S00798,NEW,5,monthly,partner_api_order
30,2024-07-06,S00855,NEW,10,monthly,partner_api_order
31,2024-07-06,S01592,NEW,2,monthly,partner_api_order
32,2024-07-06,S02352,NEW,7,annual,partner_api_order
33,2024-07-06,S02971,NEW,1,monthly,partner_api_order
34,2024-07-06,S03925,NEW,4,annual,partner_api_order
35,2024-07-06,S04104,NEW,22,annual,partner_api_order
36,2024-07-07,S04351,NEW,194,annual,contract_record
37,2024-07-07,S03542,ADD,169,,contract_record
38,2024-07-08,S01209,NEW,10,annual,partner_api_order
39,2024-07-08,S01463,NEW,15,annual,partner_api_order
40,2024-07-08,S01525,NEW,14,monthly,partner_api_order
41,2024-07-08,S03421,NEW,21,annual,partner_api_order
42,2024-07-09,S00877,NEW,7,annual,partner_api_order
43,2024-07-09,S01630,NEW,4,annual,partner_api_order
44,2024-07-09,S02121,NEW,18,annual,partner_api_order
45,2024-07-09,S02198,NEW,7,annual,partner_api_order
46,2024-07-09,S03233,NEW,17,monthly,partner_api_order
47,2024-07-09,S04386,NEW,15,annual,partner_api_order
48,2024-07-10,S00427,NEW,2,monthly,partner_api_order
49,2024-07-10,S00974,NEW,11,monthly,partner_api_order
50,2024-07-10,S01069,NEW,4,annual,partner_api_order
51,2024-07-10,S01283,NEW,28,annual,partner_api_order
52,2024-07-10,S02517,NEW,9,monthly,partner_api_order
