subscription_key,customer_key,term_type,opened_date,register_quantity,register_status,register_status_date
S00001,C00001,annual,2026-01-10,3,active,2026-01-10
S00002,C00002,annual,2025-09-20,8,active,2025-09-20
S00003,C00003,annual,2026-03-22,5,active,2026-03-22
S00004,C00004,monthly,2026-04-24,10,active,2026-04-24
S00005,C00005,annual,2026-04-23,12,active,2026-04-23
S00006,C00006,annual,2025-03-12,3,active,2025-03-12
S00007,C00007,annual,2026-02-13,15,active,2026-02-13
S00008,C00008,annual,2025-10-28,10,active,2025-10-28
S00009,C00009,annual,2026-06-18,25,active,2026-06-18
S00010,C00010,annual,2026-06-18,389,active,2026-06-18
S00011,C00011,annual,2026-01-23,9,active,2026-01-23
S00012,C00012,annual,2025-02-22,0,cancelled,2025-06-23
S00013,C00013,annual,2025-05-30,3,active,2025-05-30
S00014,C00014,annual,2024-07-05,0,cancelled,2026-05-23
S00015,C00015,annual,2025-11-27,5,active,2025-11-27
S00016,C00015,annual,2026-02-14,10,active,2026-02-14
S00017,C00016,annual,2026-06-25,6,active,2026-06-25
S00018,C00017,annual,2024-11-20,4,active,2024-11-20
S00019,C00018,annual,2025-11-26,2,active,2025-11-26
S00020,C00019,monthly,2025-07-18,9,active,2025-07-18
S00021,C00020,annual,2025-11-11,3,active,2025-11-11
S00022,C00021,monthly,2025-08-11,4,active,2025-08-11
S00023,C00022,annual,2025-08-18,9,active,2025-08-18
S00024,C00022,annual,2026-02-16,40,active,2026-02-16
S00025,C00023,monthly,2024-09-13,6,active,2024-09-13
S00026,C00024,annual,2025-11-24,6,active,2025-11-24
S00027,C00025,annual,2025-04-26,0,cancelled,2025-11-26
S00028,C00026,annual,2026-03-01,11,active,2026-03-01
S00029,C00027,annual,2026-03-17,5,active,2026-03-17
S00030,C00028,annual,2025-11-05,9,active,2025-11-05
S00031,C00029,annual,2025-03-25,9,active,2025-03-25
S00032,C00030,annual,2026-03-30,4,active,2026-03-30
S00033,C00031,annual,2025-03-28,4,active,2025-03-28
S00034,C00032,annual,2025-09-25,6,active,2025-09-25
S00035,C00033,annual,2026-02-20,6,active,2026-02-20
S00036,C00034,annual,2024-09-29,0,cancelled,2025-06-06
S00037,C00035,monthly,2025-10-02,9,active,2025-10-02
S00038,C00035,monthly,2026-02-28,4,active,2026-02-28
S00039,C00036,annual,2026-04-19,15,active,2026-04-19
S00040,C00037,annual,2024-08-25,0,cancelled,2024-08-27
S00041,C00038,annual,2026-05-12,10,active,2026-05-12
S00042,C00039,annual,2024-11-02,19,active,2024-11-02
S00043,C00039,annual,2026-03-31,13,active,2026-03-31
S00044,C00040,annual,2025-12-16,3,active,2025-12-16
S00045,C00041,monthly,2025-04-30,3,active,2025-04-30
S00046,C00042,annual,2025-03-02,22,active,2025-03-02
S00047,C00043,monthly,2025-03-06,9,active,2025-03-06
S00048,C00044,annual,2024-12-03,0,cancelled,2025-03-24
S00049,C00044,annual,2026-04-26,3,active,2026-04-26
S00050,C00045,monthly,2025-12-06,13,active,2025-12-06
S00051,C00046,monthly,2024-08-07,0,cancelled,2025-10-28
S00052,C00047,annual,2024-11-14,0,cancelled,2025-07-27
S00053,C00048,monthly,2026-03-05,16,active,2026-03-05
S00054,C00049,annual,2024-09-16,32,active,2024-09-16
S00055,C00050,annual,2024-07-01,207,active,2024-07-01
S00056,C00051,annual,2025-02-18,2,active,2025-02-18
S00057,C00051,monthly,2025-04-24,6,active,2025-04-24
S00058,C00052,monthly,2025-04-30,5,active,2025-04-30
S00059,C00053,monthly,2025-02-20,4,active,2025-02-20
S00060,C00054,annual,2025-06-30,4,active,2025-06-30
S00061,C00055,monthly,2024-11-10,38,active,2024-11-10
S00062,C00056,annual,2026-06-18,10,active,2026-06-18
S00063,C00057,monthly,2026-02-23,6,active,2026-02-23
S00064,C00058,annual,2026-02-27,27,active,2026-02-27
S00065,C00059,annual,2024-10-30,36,active,2024-10-30
S00066,C00059,monthly,2025-10-15,21,active,2025-10-15
S00067,C00060,annual,2025-06-28,469,active,2025-06-28
S00068,C00061,annual,2026-06-28,7,active,2026-06-28
S00069,C00062,monthly,2026-01-24,8,active,2026-01-24
S00070,C00063,monthly,2025-05-03,5,active,2025-05-03
S00071,C00063,monthly,2025-07-29,0,cancelled,2026-05-16
S00072,C00064,monthly,2025-07-22,0,cancelled,2026-06-05
S00073,C00065,monthly,2024-08-04,0,cancelled,2026-03-11
S00074,C00066,annual,2025-01-20,20,active,2025-01-20
S00075,C00067,monthly,2026-04-06,5,active,2026-04-06
S00076,C00067,monthly,2026-06-29,3,active,2026-06-29
S00077,C00068,monthly,2025-02-05,28,active,2025-02-05
S00078,C00069,annual,2025-07-16,10,active,2025-07-16
S00079,C00070,annual,2025-12-23,171,active,2025-12-23
S00080,C00071,monthly,2024-08-06,3,active,2024-08-06
S00081,C00072,annual,2026-06-16,3,active,2026-06-16
